sample_id,start_hz,end_hz,target,prob_carpet,predicao
0209af20-34f8-5c0e-bdad-94b1e7046f71,1000,1250,0,0.00077287585,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1125,1375,0,0.00077287585,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1250,1500,0,0.0008448903,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1375,1625,0,0.0009805841,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1500,1750,0,0.0010194455,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1625,1875,0,0.0010527907,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1750,2000,0,0.0010527907,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1875,2125,0,0.0010527907,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2000,2250,0,0.0010527907,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2125,2375,0,0.0010527907,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2250,2500,0,0.0010159778,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2375,2625,0,0.0010159778,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2500,2750,0,0.0009930369,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2625,2875,0,0.0009930369,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2750,3000,0,0.0009930369,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2875,3125,0,0.0009848309,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,3000,3250,0,0.0012572986,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,3125,3375,0,0.0012572986,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,3250,3500,0,0.0013181003,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,3375,3625,1,0.92708254,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,3500,3750,1,0.99718034,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,3625,3875,1,0.9987147,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,3750,4000,1,0.9987147,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,3875,4125,1,0.9987147,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,4000,4250,1,0.9987147,1
