asset_id,label
66c44a1e-4b0b-46ad-b739-4a961362b68b,healthy
0f193b25-e6b8-4f69-875f-2cfa553fe0d2,healthy
3eff280f-06fc-4b1d-adff-4022164cecff,healthy
11d95534-6903-497b-af14-ec36443db1a5,healthy
c66f58d9-5fb9-4615-89de-a0249655b134,healthy
b779a37e-f5c8-42a7-9ce3-4b1775b1f51c,healthy
a9e16eea-cf75-428f-b3fd-d3ff1e6d1715,healthy
6b078b8f-06b1-4854-9948-3547fa2a4b13,healthy
59563234-85db-4f57-9d04-7e80244ebe50,healthy
ea1ed0ae-92f6-4043-978d-305151a20f11,healthy
372a4dfd-f271-4dbb-ba04-96414c4106f7,healthy
b839dd4b-ba39-429b-a787-19c9b14cd47d,healthy
3e469a11-4f36-4029-98a8-48ede7e6d336,healthy
4fd03a33-ef2c-420b-9f84-00f5302c1be3,healthy
4c707d29-292b-4523-a799-ac62e4db942b,healthy
aff6aef0-7263-4dc9-a39c-826228358dfd,healthy
98e8ca60-4497-40e3-897f-f4cc61ca87dc,starved lubrication
e2a7c182-c81a-472f-b0ac-de67b74a3928,starved lubrication
b6d3d3e4-e5e1-45c1-87a1-6ee53b509022,starved lubrication
bce89700-aacf-4c1d-91a6-3ab29f858bea,starved lubrication
3c63de33-c64e-4271-bae6-117016a42505,starved lubrication
ebc18e82-bfba-49e7-9cc3-b871cc3df968,starved lubrication
964802c4-d03f-443a-8700-025fe8ecc604,starved lubrication
efd9094f-cedd-424b-b5ea-dbdbc2910fd0,starved lubrication
99f2761c-bd57-4209-a315-effef085e243,healthy
14c4a362-3bf9-4d55-9dad-0a7d1266b3c0,healthy
c6bdc831-3924-45cd-827c-6e7aa15f5235,healthy
9880b396-1d3e-4a80-885d-a3d2678aafc0,healthy
1b252a0c-5d3f-4648-8189-b724aa0b75c9,healthy
2442ed66-cdef-47af-b054-1061e7ef4162,healthy
7a24ef98-3eee-461f-b8bd-85cf7a17de1f,healthy
f9abf473-34a5-44de-a0c7-1a7cdd658e9b,healthy
1c9a6e67-5b78-4824-9696-694ef60b8db8,healthy
62f9475c-3fb1-4a50-bd45-c83fa84146d1,healthy
11638391-954c-49ba-ab56-a7071c734842,healthy
2b1b2bf5-3f87-4f70-a5d9-982d3269fe60,healthy
74cc3c66-e491-4206-9fe1-03e853175c22,healthy
adcf66b3-5fb5-420b-bfac-34dc66f36560,healthy
e5587030-8cb2-4552-8195-a5bca76892e8,healthy
07405721-f9bd-4664-97f3-dcd7ed20cd12,healthy
14b510db-2d4e-461e-86ad-186f8734681f,starved lubrication
a3111451-9772-4fcf-9911-eee492620fa6,starved lubrication
c6d8ecc3-2281-4ebb-8b7f-b8b1933eb4f6,starved lubrication
eff2b716-d8cc-4705-a16b-c665ce3c5e78,starved lubrication
a4794ad9-f98e-4a39-8dbc-208b9d5297e6,starved lubrication
ca325f03-3dec-42d8-9a32-230966423630,starved lubrication
2d2e5faa-501d-46e8-af54-431e145121bb,starved lubrication
3d956703-b5e3-4ab1-83ed-bbe1f65edd84,starved lubrication
c88b4adb-3a14-470f-acb7-24c535cee951,healthy
b5ddf966-4238-4fa1-bde3-684dae91b659,healthy
9cb1c607-6f4a-477a-a151-6b9ed0840394,healthy
a3497a09-3e33-43ae-86e5-7eb80b807fd4,healthy
6a9956fe-8412-4178-b28b-c67a47ade9c0,healthy
08315749-86f9-4960-8a17-5be18217dd25,healthy
7c480072-db07-457c-8cbc-46ac79a719b7,healthy
4b2807be-39b6-41b4-aa4c-5d0a0c917925,healthy
7b5573c7-214a-4762-a4b8-47c646ffc80b,healthy
e28cbf58-2d24-4ba7-9ed4-12969f96d78b,healthy
616e5566-2687-4fab-b447-b6d033587d9a,healthy
6c3f9aeb-44f8-4935-83d8-5020449798cb,healthy
e0743d4f-ac9f-4163-b3b8-ddd243e50b69,healthy
6748e4a0-d68c-4412-94b4-b515bc1a4051,healthy
c403852b-0be2-4f09-abc6-d6268b3c6935,healthy
dd460b63-e304-4356-b2a5-cdf6fdd60e3b,healthy
b80e0401-e130-48e2-88de-bdaaaa2c9b4f,starved lubrication
e7b9552e-4b1a-432b-aa76-3458f68dd310,starved lubrication
3869f912-b099-4e47-869d-9a8fa40adb9b,starved lubrication
8f83a431-ccad-40c8-9fac-7258fc696816,starved lubrication
60a87541-4ddc-4fc3-a09f-434d39263d83,starved lubrication
97996b13-5037-475c-9d5d-2d42a697afeb,starved lubrication
2adb145d-e6f6-4461-900c-4ad86f66109f,starved lubrication
71913500-1926-445e-b110-47f6aab82604,starved lubrication
410f00e9-3a5c-44e5-9c7b-fa858cea69f2,healthy
5b79ef3d-3700-488b-a6f6-06926f634fb8,healthy
1208cf4b-672d-41f8-aca1-41afe9ad3a4d,healthy
cd784c11-9611-46c5-a228-94bbecb6275b,healthy
edd5dc16-478d-43da-99c8-47fff24a318d,healthy
a160fa29-6e1e-4703-94b2-37573d58185d,healthy
fc8320be-f941-42d4-9688-aac34ac87d0f,healthy
0843785c-c4dd-45ed-8aaf-afa3e34e3ec2,healthy
fea05515-a0c2-416d-9336-c8bcc7de5404,healthy
a444f035-5e3d-4b80-b80e-864b6427924c,healthy
74091ba5-b7cc-457b-9444-551dd97e976f,healthy
3b8895fc-f18d-439d-8994-e758c96be47a,healthy
e516f36a-a980-488d-8dea-aa0756ad77e2,healthy
45c3f0d5-dcca-4e36-b6ed-4536e400c852,healthy
e6cebb71-9647-45b2-a109-c048b51c0fbc,healthy
ad3e6de2-75bb-43ee-8180-a0f36eacbac7,healthy
28fb42ee-65e2-4b3d-844e-3b6ad97991b4,starved lubrication
46dcdd8c-9242-49ec-a7ed-6d00c5e22ab0,starved lubrication
0c3550d8-667b-4abd-b340-9b216f3d7475,starved lubrication
7919521a-b068-47f8-9294-c8fe02695274,starved lubrication
e94ce109-452d-4d26-b91b-88906a2b7ecc,starved lubrication
cf6ad7b2-4841-4267-901d-b365d1c0709e,starved lubrication
6a5d40d1-593b-4d47-b603-76cec0153486,starved lubrication
3cd5474c-80c3-46c1-ac17-ebe35616bf20,starved lubrication
d2ab1d9d-f011-4953-b7c9-0f0af7a5a522,healthy
68c9b12f-290c-4a6c-80df-c8ae5d8077b3,healthy
2bd70f61-453c-4da5-a2f7-2936508c6621,healthy
0872d6c5-8108-47e8-ac04-5def76f247ee,healthy
2dc48217-f51d-4b52-8291-98d4d72b6cee,healthy
a53f6242-0a37-43b4-817f-edccb2a58530,healthy
93e01967-7666-44b6-a340-a10a20da5775,healthy
083bee5a-2821-4bd1-a9bb-fffe90446e7e,healthy
80bfa1e6-7919-4175-91a3-0ac6150bbbb6,healthy
2f77b7d6-04f9-4796-9048-14b5b524383b,healthy
a3be95dc-9e30-446f-aaab-0c6e14ba5a9f,healthy
2af1e1d4-8628-4d62-834a-33b5c5cfc59e,healthy
5c93c538-a131-4f54-8843-5774e14e32ce,healthy
7f4f435c-c454-4ccf-9b5d-5265510d8b13,healthy
8e2d5491-eba1-4f20-8847-f29e5cbb7e3b,healthy
9193ece0-f204-498a-a24d-7a3bc044f2b0,healthy
90e76555-c9f2-4b10-b7de-3af764e7a9f4,starved lubrication
da6656a5-b4a2-48b6-90e8-331f2765a260,starved lubrication
d5229a03-a02e-4408-8ca4-9cc706d8db13,starved lubrication
4d1a3521-4fd2-4181-86f1-ea4e46f98ddb,starved lubrication
1d613c5d-39f8-44ac-947f-0eaec35553d8,starved lubrication
f848feae-dcf4-4209-9c8e-a52bea388b9b,starved lubrication
d25267d4-ddd6-4f64-8bca-88f88e0459b1,starved lubrication
34baa20c-08cd-41fb-a061-436a520d8f5d,starved lubrication
f043fec0-aa64-43ae-9d26-be678490ea13,healthy
615feaf6-4303-4263-8340-6b6ac2a7fc8b,healthy
cf3c403b-27b5-4435-8718-217f10202d9c,healthy
501f9829-9e80-4943-9b2f-a9a14c7940a8,healthy
7edfbf36-9a6b-4506-a02f-1b052a1ea1d3,healthy
6e10ce59-95a9-4b04-8249-57ac981900a4,healthy
bc2c1dc1-030d-434c-a361-9b66c4de8c9e,healthy
5f388c37-e0f1-45a3-b2b6-8711913fd850,healthy
7bc76175-2483-4824-8ee2-07ec56af20e5,healthy
ddfb90ce-10ed-4742-93bc-2f3c5075df29,healthy
d74d977a-a260-4a19-8e8b-a3b6e7bdbed2,healthy
e5b8ed56-aeec-4113-9839-7a3cc2978f8f,healthy
476490aa-5f97-4aa5-9e56-da8a1758e965,healthy
ae6ed224-0c33-4c48-8df9-66ca43370c09,healthy
c9a68365-6adb-45aa-8ada-622a47df21e1,healthy
d6a66c8c-e7cd-46a5-ae6d-d5606e2b78c6,healthy
04564901-7070-40b3-9498-baa86a57d90b,starved lubrication
f57dd9e0-ed3e-423d-b0c3-801a85d500aa,starved lubrication
e4b7d9f7-909e-4444-a77c-f0dde3c7fca0,starved lubrication
98d2b905-9850-4835-9c67-6a46a2eed40d,starved lubrication
eeb4f1a1-aa0c-447e-9cf8-a1284e5a9039,starved lubrication
a9f9ffa1-104e-4607-9203-0ce25d7497c0,starved lubrication
ab4b0692-1371-4483-b4df-d702eccb1122,starved lubrication
caad00b4-3091-4527-a514-b507c4680650,starved lubrication
