sample_id,start_hz,end_hz,target,prob_carpet,predicao
0209af20-34f8-5c0e-bdad-94b1e7046f71,1000,1250,0,0.0011884386,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1125,1375,0,0.0011884386,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1250,1500,0,0.0018551905,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1375,1625,0,0.0018331053,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1500,1750,0,0.0018331053,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1625,1875,0,0.0017838675,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1750,2000,0,0.0017838675,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,1875,2125,0,0.0017838675,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2000,2250,0,0.0017653443,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2125,2375,0,0.0017653443,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2250,2500,0,0.0017653443,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2375,2625,0,0.0017653443,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2500,2750,0,0.0017653443,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2625,2875,0,0.0018254372,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2750,3000,0,0.0018254372,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,2875,3125,0,0.0018254372,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,3000,3250,0,0.0018912139,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,3125,3375,0,0.0018912139,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,3250,3500,0,0.00208397,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,3375,3625,1,0.9164459,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,3500,3750,1,0.9953107,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,3625,3875,1,0.99786144,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,3750,4000,1,0.99786144,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,3875,4125,1,0.99786144,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,4000,4250,1,0.99786144,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,4125,4375,1,0.99582136,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,4250,4500,1,0.98976386,1
0209af20-34f8-5c0e-bdad-94b1e7046f71,4375,4625,1,0.11701468,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,4500,4750,0,0.0018912139,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,4625,4875,0,0.001747146,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,4750,5000,0,0.0016448565,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,4875,5125,0,0.0014812562,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,5000,5250,0,0.0013652601,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,5125,5375,0,0.0013652601,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,5250,5500,0,0.0013652601,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,5375,5625,0,0.0013652601,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,5500,5750,0,0.0013652601,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,5625,5875,0,0.0010363375,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,5750,6000,0,0.0010363375,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,5875,6125,0,0.0010363375,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,6000,6250,0,0.0010363375,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,6125,6375,0,0.0010363375,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,6250,6500,0,0.00094680686,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,6375,6625,0,0.00094680686,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,6500,6750,0,0.00094680686,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,6625,6875,0,0.00094680686,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,6750,7000,0,0.00094680686,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,6875,7125,0,0.00094680686,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,7000,7250,0,0.00094680686,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,7125,7375,0,0.00094680686,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,7250,7500,0,0.00094680686,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,7375,7625,0,0.00094680686,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,7500,7750,0,0.00094680686,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,7625,7875,0,0.00094680686,0
0209af20-34f8-5c0e-bdad-94b1e7046f71,7750,8000,0,0.00094680686,0
446bb31a-b1af-5e35-8cf4-8e97c2e6504b,1000,1250,0,0.0014880224,0
446bb31a-b1af-5e35-8cf4-8e97c2e6504b,1125,1375,0,0.0009506639,0
446bb31a-b1af-5e35-8cf4-8e97c2e6504b,1250,1500,0,0.15118836,0
446bb31a-b1af-5e35-8cf4-8e97c2e6504b,1375,1625,0,0.06365575,0
446bb31a-b1af-5e35-8cf4-8e97c2e6504b,1500,1750,0,0.041121993,0
